insurer_phone_number,n_claims,fraud_rate,first_seen,last_seen
34600000619,9,0.5555555555555556,2024-01-01,2024-02-20
34600003954,9,0.2222222222222222,2024-01-16,2024-02-24
34600000717,8,0.25,2024-01-07,2024-02-27
34600002387,8,0.0,2024-01-02,2024-02-26
34600003278,7,0.14285714285714285,2024-01-09,2024-02-14
34600001662,7,0.14285714285714285,2024-01-08,2024-02-22
34600001206,7,0.42857142857142855,2024-01-04,2024-02-23
34600002848,7,0.14285714285714285,2024-01-02,2024-02-22
34600002101,7,0.42857142857142855,2024-01-06,2024-02-15
34600001404,7,0.2857142857142857,2024-01-01,2024-02-16
34600000605,7,0.14285714285714285,2024-01-08,2024-02-06
34600001696,6,0.3333333333333333,2024-01-03,2024-02-09
34600001693,6,0.16666666666666666,2024-01-01,2024-02-18
34600000356,6,0.3333333333333333,2024-01-18,2024-02-25
34600002011,6,0.16666666666666666,2024-01-10,2024-02-19
34600001105,6,0.16666666666666666,2024-01-09,2024-02-26
34600003418,6,0.3333333333333333,2024-01-21,2024-02-21
34600000796,6,0.0,2024-01-04,2024-02-04
34600000299,6,0.3333333333333333,2024-01-03,2024-02-27
34600000542,6,0.0,2024-01-19,2024-02-27
34600000580,6,0.6666666666666666,2024-01-02,2024-02-29
34600000639,6,0.16666666666666666,2024-01-04,2024-02-29
34600003855,6,0.0,2024-01-16,2024-02-22
34600002878,6,0.16666666666666666,2024-01-04,2024-02-26
34600000083,6,0.3333333333333333,2024-01-20,2024-02-17
